ID,longitude,latitude,schatten,Gesetzt
119,8.637672222222221,49.86453888888889,hoch,0
120,8.643563888888888,49.864783333333335,hoch,0
121,8.639491666666666,49.86324722222222,kein,0
122,8.643222222222223,49.863936111111116,kein,0
123,8.638627777777778,49.861136111111115,kein,0
124,8.635241666666666,49.85886388888889,hoch,0
125,8.637780555555555,49.85877222222222,mittel,0
126,8.637752777777777,49.883408333333335,hoch,0
127,8.643097222222222,49.858402777777776,kein,0
128,8.64575,49.868027777777776,kein,0
129,8.64636111111111,49.86837777777778,hoch,0
130,8.646063888888888,49.86720277777778,hoch,0
131,8.651758333333333,49.868294444444444,kein,0
132,8.652558333333333,49.86728333333333,hoch,0
133,8.646572222222222,49.86563888888889,hoch,0
134,8.651452777777779,49.86598611111111,hoch,0
135,8.653080555555556,49.86555,hoch,0
