PersonID,PillarID
1951,77
1951,80
1951,83
1951,88
2549,53
732,77
7481,42
13743,75
13743,78
13743,79
13743,102
13743,104
8867,91
8867,93
5408,5
5408,8
5408,9
5408,75
5408,78
5408,79
5408,105
4661,118
4592,-99999
687,82
687,83
687,109
6769,-99999
13612,88
13612,93
425,75
425,78
5737,79
5737,94
5737,97
5737,102
5737,104
5610,75
5610,77
5610,78
5610,80
5610,81
12184,45
12184,76
12184,80
12184,83
12184,100
12184,101
12184,111
6623,112
4141,53
4141,55
4141,56
4141,57
4141,58
4141,76
4141,80
4141,82
4141,83
4141,93
4141,100
4141,101
4141,109
17045,80
17045,100
17045,101
14939,-99999
15310,53
15310,75
15310,78
15310,80
15310,81
15310,88
347,76
16611,49
16611,83
6430,-99999
14490,58
14490,89
14490,91
14490,112
10195,-99999
11341,4
11341,7
11341,19
11341,21
11341,22
11341,23
11341,75
11341,79
11341,104
11341,134
8209,115
8209,117
17436,-99999
12716,-99999
16066,-99999
6906,77
6906,79
6906,80
19448,-99999
3061,59
3061,88
14971,88
663,5
663,91
1269,83
1269,90
1269,91
1269,92
1269,111
1280,47
15772,45
15772,83
15772,102
17031,8
17031,44
17031,56
17031,57
17031,70
17031,75
17031,78
17031,79
17031,91
17031,92
17031,94
17031,102
17031,111
7500,-99999
18986,45
18986,58
18986,74
18986,77
18986,83
18986,89
5455,80
5455,81
12301,3
12301,27
12301,135
5847,-99999
6525,90
19725,56
19725,57
19725,111
3231,-99999
1954,88
1954,91
1954,112
7774,-99999
10916,-99999
12512,42
12545,100
7054,7
7054,19
7054,21
7054,22
7054,23
7054,136
1455,83
1455,109
11273,14
11273,75
11273,79
11273,104
11507,-99999
13200,-99999
3356,-99999
18477,10
18477,53
18477,116
18477,126
19912,-99999
382,103
382,105
707,19
707,105
707,109
707,128
707,130
707,133
11855,45
11855,83
11855,119
11855,133
11855,134
2232,80
2232,81
19337,-99999
11783,-99999
8546,44
8546,70
8546,75
8546,79
8546,104
18495,43
18495,50
18495,51
18495,52
18495,80
18495,81
18495,88
9587,111
2275,-99999
5232,53
5232,55
5232,56
5232,57
5232,58
5232,118
14967,10
14967,88
14967,89
14967,126
14295,8
14295,39
14295,93
14295,94
14295,-8
14295,-9
19052,88
19052,109
8270,75
8270,79
8270,104
10909,82
10909,-7
16782,82
16782,83
16782,109
10888,44
10888,45
10888,70
10888,76
10888,80
10888,83
5590,10
5590,43
5590,50
5590,51
5590,52
5590,84
5590,106
5590,126
1927,106
8448,49
19759,45
19759,80
19759,83
19759,88
4065,75
4065,76
4065,78
19118,-99999
13292,111
8265,44
8265,69
8265,70
8265,75
8265,78
8265,80
323,19
323,32
323,121
206,53
206,87
10940,83
10940,103
10940,105
10940,109
15406,88
4337,74
2448,1
2448,75
2448,79
2448,104
16485,80
16485,81
5138,-99999
415,1
415,10
19965,77
19965,80
19965,100
19965,102
8534,83
8534,112
14223,91
3697,-99999
17851,45
17851,83
8234,75
8234,76
8234,78
17154,8
17154,9
17154,49
17154,111
17154,112
4321,10
4321,82
4321,83
4321,85
4321,86
4321,126
868,0
868,43
868,51
868,84
868,85
868,86
868,110
17554,4
17554,8
17554,97
856,-99999
7032,19
7032,21
7032,22
7032,23
7032,107
16225,51
16225,106
16225,-7
8512,5
17444,103
17444,126
3225,-99999
18609,78
18609,80
18609,115
18321,-99999
19874,4
19874,113
19874,122
19874,123
19874,134
19874,-10
3708,-99999
16686,-99999
13719,93
231,-99999
12171,10
12171,126
14222,-99999
4478,-99999
4875,-99999
16503,43
16503,84
16503,106
12567,-99999
3827,4
3827,47
3827,82
3827,83
3827,-10
17638,-99999
2034,55
6527,56
6527,57
6527,111
6527,119
6527,128
6527,130
6527,133
11977,82
15016,92
15016,102
15016,111
15016,118
16369,48
16369,54
16369,59
16369,91
16369,112
10288,78
10288,80
10288,81
10288,82
10288,115
10288,-7
6546,90
8565,-99999
6414,-99999
12145,92
5629,43
5629,45
5629,51
5629,75
5629,78
5629,79
5629,80
5629,81
5629,83
5629,84
5629,88
5629,102
5629,111
9875,126
2251,88
40,-99999
4983,42
4983,47
340,4
340,19
340,21
340,78
340,134
340,-10
16798,110
10600,44
10600,45
10600,70
10600,76
10600,80
10600,83
10600,111
13678,93
13179,44
13179,70
13179,75
13179,78
13179,79
13179,88
13179,102
13179,110
13179,111
12183,45
12183,83
12183,91
12183,92
12183,111
18547,20
18547,126
5620,43
5620,49
5620,51
5620,80
5620,81
5620,84
12319,-99999
12481,81
3799,42
3799,81
18480,77
18480,80
18480,81
18723,117
18723,118
10802,-99999
19957,4
19957,5
19957,8
19957,19
19957,21
19957,22
19957,23
19957,42
19957,85
19957,94
19957,97
19957,110
19957,132
19957,134
1476,71
1476,75
1476,78
4708,-99999
18665,115
3188,-99999
1235,-99999
12044,5
12044,45
12044,47
12044,83
12044,102
12044,115
12044,117
11951,-99999
9960,94
9960,97
3235,74
10523,3
10523,27
10523,53
10523,55
10523,56
10523,57
10523,58
10523,59
10523,85
10523,103
10523,105
10523,110
10523,132
10523,135
13702,-99999
18534,77
18534,80
18534,81
16457,48
16457,54
16457,106
8087,-99999
7495,126
13332,105
13332,109
11052,102
11052,103
5173,45
5173,83
5173,102
5173,105
5173,108
5173,109
8089,-99999
4782,111
4782,112
6463,-99999
6466,44
6466,56
6466,57
6466,70
6466,75
6466,78
6466,79
6466,88
6466,102
14828,43
14828,50
14828,51
14828,52
14828,53
14828,55
14828,84
14828,88
7529,110
9466,-99999
18797,117
12568,2
12568,29
12568,83
12568,103
12568,128
12568,130
12568,133
11457,-99999
15080,75
15080,78
15080,79
15080,102
15080,111
2109,5
9831,45
9831,75
9831,76
9831,77
9831,78
9831,79
9831,80
9831,83
9831,102
9831,104
6460,57
6460,103
6460,104
1836,-99999
9966,43
9966,50
9966,51
9966,52
9966,53
9966,55
9966,56
9966,57
9966,58
9966,111
9966,112
6077,87
14259,45
14259,77
14259,83
14259,92
14259,93
14259,111
8544,-99999
18524,88
6973,101
414,77
9860,-99999
8880,-99999
14613,82
14613,83
14613,109
5336,53
5336,86
5336,105
5336,109
5336,110
14753,45
14753,74
14753,83
14753,90
14753,111
15410,49
15410,82
15410,88
15410,-7
16469,80
16469,81
8186,74
4515,-99999
6933,19
6933,21
6933,107
12751,103
12751,104
